name,coords,type,category,tags,address,website
Deins Hofladen ,"48.04653724930522, 9.491967726114186",Ab Hof-Verkauf,Einkaufen,regional,Berglandstraße 46 ,
Dreher Hofladen und Milchhäusle ,"48.00076637036221, 9.54467691261875",Ab Hof-Verkauf,Einkaufen,regional,Unterdorfweg 1 ,https://drehers-erlebnishof.de/
Knollhof ,"48.00110254833193, 9.41412318378319",Ab Hof-Verkauf,Einkaufen,regional,Friedbachstraße 43 ,
Köberles Hofladen,"48.00633913697025, 9.480296353099245",Ab Hof-Verkauf,Einkaufen,regional,Haldenhof 2,
Miehlehof ,"48.019035355858335, 9.484567114224102",Ab Hof-Verkauf,Einkaufen,regional,Miehlehof 1,
Rapps Hoflädele ,"48.003263616371775, 9.572436880623155",Ab Hof-Verkauf,Einkaufen,regional,Hochstraße 30 ,
Rauch's Ranch Hofladen ,"48.04763491203856, 9.521201155729925",Ab Hof-Verkauf,Einkaufen,regional,Dürnauer Straße 23 ,
s Lädele Hofladen ,"47.9989216658733, 9.435408565511013",Ab Hof-Verkauf,Einkaufen,"bio, regional",Eschendorfer Straße 16 ,
Wildfleisch-Regiomat ,"48.00423687340428, 9.487506957605817",Ab Hof-Verkauf,Einkaufen,regional,Am Feldrain 13 ,https://www.wild-auf-wild.de/content/wild-vom-wilderer
Zieg-o-mat Rieber ,"48.00309609870952, 9.57464323448455",Ab Hof-Verkauf,Einkaufen,regional,Schwemmer Weg 10 ,
Der Wäscheladen,"48.01726005641889, 9.500707065423589",Mode und Bekleidung,Einkaufen,bio,Dreiköniggasse 4,
Weinhandel Henkel,"48.01746663875896, 9.500808264921808",Lebensmittel,Einkaufen,"bio, fair, regional",Dreiköniggasse 6,
Bäckerei Keim & Brecht,"48.013157671867475, 9.50919665874443",Bäckerei,Einkaufen,regional,Buchauer Straße 40,https://www.keimundbrecht.de
Bäckerei Mahl,"48.008149350841435, 9.511514454854927",Bäckerei,Einkaufen,"bio, regional",Platzstraße 24,https://www.backhausmahl.de/unsere-fachgeschaefte.html
Bäckerei Schultes Beck,"48.02287228989023, 9.45188155574985",Bäckerei,Einkaufen,"fair, regional",Saulgauer Straße 31/1 ,https://www.schultesbeck.com/
Bäckerei Heim,"48.016125326799035, 9.499672019922945",Bäckerei,Einkaufen,regional,Eckstraße 7,https://baeckerei-heim.de/
Bäckerei Zoll ,"48.00874363589932, 9.509468854576706",Bäckerei,Einkaufen,regional,Platzstraße 18,https://www.baeckerei-zoll.de/
AWG Mode,"48.02138219176371, 9.494387410958636",Mode und Bekleidung,Einkaufen,fair,Friedrich-List-Straße 10,https://www.awg-mode.de/awg-mode-center-bad-saulgau
Kauf by Naturata,"48.01585681437555, 9.50255872630393",Lebensmittel,Einkaufen,"bio, fair, regional",Friedrichstraße 7,https://k-auf.de/
ROFU-Kinderland,"48.02130619629097, 9.491263737668898","Basteln, Spiel- und Schreibwaren",Einkaufen,regional,Herbertinger Straße 38,https://www.rofu.de/filialen/#!/l/bad-saulgau
Norma,"48.01841358187286, 9.498673848595974",Lebensmittel,Einkaufen,"bio, fair, regional",Fuchsgasse 3,https://www.norma-online.de/de/angebote/
Bahnhofskiosk,"48.01388702699076, 9.500926549129975",Bücher und Zeitschriften,Einkaufen,,Karlstraße 6/1,
Schwaaz Vere Buchhandlung,"48.01718853165306, 9.498921435426675",Bücher und Zeitschriften,Einkaufen,,Hauptstraße 54,https://www.schwaaz-vere.de
dm Drogerie,"48.008208461199715, 9.507735249796857",Drogerie,Einkaufen,"bio, fair, regional",Platzstraße 22,https://www.dm.de
Fahrrad Neudörffer ,"48.01393278585195, 9.502786149361839",Sport und Freizeit,Einkaufen,"fair, regional",Hauptstraße 108-110,https://www.neudoerffer-shop.de
expert Bad Saulgau,"48.021800780797584, 9.493835804363663",Elektro und Technik,Einkaufen,,Friedrich-List-Straße 15,https://www.expert.de
Media@home Buck,"48.01719710547607, 9.499447497366718",Elektro und Technik,Einkaufen,,Marktplatz 4,https://www.mediaathome.de/bad-saulgau-buck
tell-com GmbH,"48.01655778910683, 9.50042518128279",Elektro und Technik,Einkaufen,,Hauptstraße 78,https://tell-com.de/bad-saulgau
Vodafone Shop,"48.016403837872794, 9.50089330080222",Elektro und Technik,Einkaufen,,Hauptstraße 69,https://shops.vodafone.de
Antonius Apotheke,"48.01800173668356, 9.500013760202474",Gesundheit,Einkaufen,,Oberamteistraße 1,https://www.antonius-apotheke-saulgau.de/
Apotheke Selbherr,"48.01592660965151, 9.500287437662363",Gesundheit,Einkaufen,,Werderstraße 6,https://www.apotheke-selbherr.de/
Auric Hörgeräte,"48.01794436854453, 9.499481732165046",Gesundheit,Einkaufen,,Kreuzgasse 4,https://www.auric.de/
Orthopädietechnik Kühn,"48.01559950171005, 9.501364569990507",Gesundheit,Einkaufen,,Hauptstraße 96,https://www.kuehn-ot.de
Sanitätshaus Trapp,"48.01667748872992, 9.501153531246134",Gesundheit,Einkaufen,,Hauptstraße 65,www.sanitaetshaus-trapp.de
Schmid Hör-Akustik,"48.01648691773102, 9.500835590526776",Gesundheit,Einkaufen,,Hauptstraße 67,https://schmidhoerakustik.de/bad-saulgau/
Schwaben Apotheke,"48.01587884617569, 9.501648905567274",Gesundheit,Einkaufen,,Hauptstraße 79,https://schwaben-apotheke-saulgau.de/
Vital-Apotheke,"48.016744423764045, 9.502555254213469",Gesundheit,Einkaufen,,Kaiserstraße 58,https://vitalapotheke24.de/
Aldi,"48.007540927561585, 9.50691243978623",Lebensmittel,Einkaufen,"bio, fair, regional",Schwarzenbacher Straße 1,https://filialen.aldi-sued.de
Metzgerei Huber,"48.01410746028748, 9.502943708559608",Lebensmittel,Einkaufen,"bio, regional",Hauptstraße 109,https://www.metzgerei-huber.com/
Euro S - Markt ,"48.009409297785666, 9.497482271020013",Lebensmittel,Einkaufen,regional,Bogenweiler Straße 1,https://www.euro-smarkt.de/
Netto,"48.01294569923358, 9.50076112354609",Lebensmittel,Einkaufen,"bio, fair, regional",Paradiesstraße 31,https://www.netto-online.de
Finkbeiner Getränkemarkt,"48.021802811693696, 9.495321714644525",Lebensmittel,Einkaufen,"bio, regional",Moosheimer Straße 31,https://finkbeiner.biz/
MiMi's Kindermoden,"48.0178148218823, 9.498690899787055",Mode und Bekleidung,Einkaufen,"bio, fair",Hauptstraße 39,http://mimis-kindermoden.de/
Kaufland,"48.007720757128304, 9.510845572878514",Lebensmittel,Einkaufen,"bio, fair, regional",Platzstraße 24,https://filiale.kaufland.de
Marco Family,"48.0173201910162, 9.499988218930993",Mode und Bekleidung,Einkaufen,bio,Hauptstraße 47,
Lidl,"48.00897141619712, 9.508554226834939",Lebensmittel,Einkaufen,"bio, fair, regional",Platzstraße 20,https://www.lidl.de
Intersport Dietsche,"48.01765455885542, 9.498593287716055",Sport und Freizeit,Einkaufen,"fair, regional",Hauptstraße 48,https://www.intersport.de
Ernsting's Family,"48.017444685647476, 9.498802148094153",Mode und Bekleidung,Einkaufen,bio,Hauptstraße 50,https://filialen.ernstings-family.de
